time (s),VT("/net5")*IT("/V2/PLUS")
0.000,-55.05E-6
2.500E-9,-60.11E-6
3.397E-9,-62.92E-6
5.191E-9,-67.10E-6
6.482E-9,-69.18E-6
7.719E-9,-71.29E-6
8.906E-9,-73.26E-6
10.00E-9,-75.06E-6
10.37E-9,-75.44E-6
10.89E-9,-76.01E-6
11.36E-9,-76.63E-6
12.30E-9,-77.76E-6
13.42E-9,-79.10E-6
15.66E-9,-81.48E-6
20.14E-9,-85.53E-6
28.87E-9,-90.94E-6
39.94E-9,-94.83E-6
54.87E-9,-97.41E-6
72.36E-9,-99.12E-6
78.19E-9,-99.51E-6
89.84E-9,-100.3E-6
101.1E-9,-100.9E-6
109.6E-9,-100.9E-6
118.2E-9,-99.93E-6
125.2E-9,-98.43E-6
135.8E-9,-95.00E-6
147.1E-9,-90.64E-6
166.4E-9,-83.45E-6
186.7E-9,-77.85E-6
213.9E-9,-73.55E-6
240.1E-9,-72.00E-6
268.9E-9,-71.39E-6
302.4E-9,-71.52E-6
347.7E-9,-71.54E-6
420.6E-9,-71.71E-6
542.9E-9,-71.57E-6
717.9E-9,-71.69E-6
1.013E-6,-71.58E-6
1.491E-6,-71.69E-6
2.276E-6,-71.58E-6
3.589E-6,-71.69E-6
5.761E-6,-71.58E-6
7.885E-6,-71.69E-6
10.01E-6,-71.58E-6
10.02E-6,-60.83E-6
10.02E-6,-59.90E-6
10.02E-6,-58.63E-6
10.02E-6,-57.30E-6
10.03E-6,-54.99E-6
10.03E-6,-52.13E-6
10.04E-6,-48.30E-6
10.06E-6,-45.12E-6
10.08E-6,-42.43E-6
10.10E-6,-40.65E-6
10.13E-6,-38.97E-6
10.15E-6,-37.39E-6
10.17E-6,-36.20E-6
10.18E-6,-36.71E-6
10.19E-6,-38.69E-6
10.21E-6,-43.54E-6
10.23E-6,-48.87E-6
10.25E-6,-52.76E-6
10.28E-6,-54.37E-6
10.31E-6,-54.82E-6
10.34E-6,-54.93E-6
10.39E-6,-54.99E-6
10.45E-6,-55.00E-6
10.57E-6,-55.04E-6
10.71E-6,-55.03E-6
10.98E-6,-55.06E-6
11.31E-6,-55.04E-6
11.98E-6,-55.06E-6
12.75E-6,-55.04E-6
14.16E-6,-55.06E-6
16.22E-6,-55.04E-6
18.11E-6,-55.06E-6
20.00E-6,-55.04E-6
20.00E-6,-60.11E-6
20.00E-6,-62.19E-6
20.00E-6,-65.84E-6
20.01E-6,-67.86E-6
20.01E-6,-69.85E-6
20.01E-6,-71.74E-6
20.01E-6,-74.96E-6
20.01E-6,-75.34E-6
20.01E-6,-76.09E-6
20.01E-6,-76.91E-6
20.01E-6,-78.14E-6
20.01E-6,-79.66E-6
20.02E-6,-82.20E-6
20.02E-6,-86.20E-6
20.03E-6,-91.48E-6
20.04E-6,-95.23E-6
20.06E-6,-97.65E-6
20.07E-6,-99.32E-6
20.08E-6,-99.71E-6
20.09E-6,-100.5E-6
20.10E-6,-100.9E-6
20.11E-6,-101.0E-6
20.11E-6,-100.9E-6
20.11E-6,-100.5E-6
20.12E-6,-98.60E-6
20.13E-6,-96.32E-6
20.14E-6,-91.68E-6
20.16E-6,-84.33E-6
20.18E-6,-78.41E-6
20.21E-6,-74.14E-6
20.24E-6,-72.07E-6
20.26E-6,-71.53E-6
20.30E-6,-71.40E-6
20.34E-6,-71.62E-6
20.40E-6,-71.61E-6
20.53E-6,-71.67E-6
20.69E-6,-71.59E-6
20.99E-6,-71.68E-6
21.48E-6,-71.59E-6
22.30E-6,-71.68E-6
23.72E-6,-71.58E-6
26.15E-6,-71.68E-6
30.01E-6,-71.58E-6
30.02E-6,-60.83E-6
30.02E-6,-59.90E-6
30.02E-6,-58.63E-6
30.02E-6,-57.30E-6
30.03E-6,-54.99E-6
30.03E-6,-52.13E-6
30.04E-6,-48.30E-6
30.06E-6,-45.11E-6
30.08E-6,-42.43E-6
30.10E-6,-40.65E-6
30.13E-6,-38.97E-6
30.15E-6,-37.38E-6
30.17E-6,-36.20E-6
30.18E-6,-36.71E-6
30.19E-6,-38.70E-6
30.21E-6,-43.55E-6
30.23E-6,-48.88E-6
30.25E-6,-52.76E-6
30.28E-6,-54.37E-6
30.31E-6,-54.82E-6
30.34E-6,-54.93E-6
30.39E-6,-54.99E-6
30.45E-6,-55.00E-6
30.57E-6,-55.04E-6
30.71E-6,-55.03E-6
30.98E-6,-55.06E-6
31.32E-6,-55.04E-6
31.98E-6,-55.06E-6
32.76E-6,-55.04E-6
34.17E-6,-55.06E-6
36.24E-6,-55.04E-6
38.12E-6,-55.06E-6
40.00E-6,-55.04E-6
40.00E-6,-60.11E-6
40.00E-6,-62.19E-6
40.00E-6,-65.84E-6
40.01E-6,-67.86E-6
40.01E-6,-69.85E-6
40.01E-6,-71.74E-6
40.01E-6,-74.96E-6
40.01E-6,-75.34E-6
40.01E-6,-76.09E-6
40.01E-6,-76.91E-6
40.01E-6,-78.14E-6
40.01E-6,-79.66E-6
40.02E-6,-82.20E-6
40.02E-6,-86.20E-6
40.03E-6,-91.48E-6
40.04E-6,-95.23E-6
40.06E-6,-97.65E-6
40.07E-6,-99.32E-6
40.08E-6,-99.71E-6
40.09E-6,-100.5E-6
40.10E-6,-100.9E-6
40.11E-6,-101.0E-6
40.11E-6,-100.9E-6
40.11E-6,-100.5E-6
40.12E-6,-98.60E-6
40.13E-6,-96.32E-6
40.14E-6,-91.68E-6
40.16E-6,-84.33E-6
40.18E-6,-78.41E-6
40.21E-6,-74.14E-6
40.24E-6,-72.07E-6
40.26E-6,-71.53E-6
40.30E-6,-71.40E-6
40.34E-6,-71.62E-6
40.40E-6,-71.61E-6
40.53E-6,-71.67E-6
40.69E-6,-71.59E-6
40.99E-6,-71.68E-6
41.48E-6,-71.59E-6
42.30E-6,-71.68E-6
43.72E-6,-71.58E-6
46.15E-6,-71.68E-6
50.01E-6,-71.58E-6
50.02E-6,-60.83E-6
50.02E-6,-59.90E-6
50.02E-6,-58.63E-6
50.02E-6,-57.30E-6
50.03E-6,-54.99E-6
50.03E-6,-52.13E-6
50.04E-6,-48.30E-6
50.06E-6,-45.11E-6
50.08E-6,-42.43E-6
50.10E-6,-40.65E-6
50.13E-6,-38.97E-6
50.15E-6,-37.38E-6
50.17E-6,-36.20E-6
50.18E-6,-36.71E-6
50.19E-6,-38.70E-6
50.21E-6,-43.55E-6
50.23E-6,-48.88E-6
50.25E-6,-52.76E-6
50.28E-6,-54.37E-6
50.31E-6,-54.82E-6
50.34E-6,-54.93E-6
50.39E-6,-54.99E-6
50.45E-6,-55.00E-6
50.57E-6,-55.04E-6
50.71E-6,-55.03E-6
50.98E-6,-55.06E-6
51.32E-6,-55.04E-6
51.98E-6,-55.06E-6
52.76E-6,-55.04E-6
54.17E-6,-55.06E-6
56.24E-6,-55.04E-6
58.12E-6,-55.06E-6
60.00E-6,-55.04E-6
60.00E-6,-60.11E-6
60.00E-6,-62.19E-6
60.00E-6,-65.84E-6
60.01E-6,-67.86E-6
60.01E-6,-69.85E-6
60.01E-6,-71.74E-6
60.01E-6,-74.96E-6
60.01E-6,-75.34E-6
60.01E-6,-76.09E-6
60.01E-6,-76.91E-6
60.01E-6,-78.14E-6
60.01E-6,-79.66E-6
60.02E-6,-82.20E-6
60.02E-6,-86.20E-6
60.03E-6,-91.48E-6
60.04E-6,-95.23E-6
60.06E-6,-97.65E-6
60.07E-6,-99.32E-6
60.08E-6,-99.71E-6
60.09E-6,-100.5E-6
60.10E-6,-100.9E-6
60.11E-6,-101.0E-6
60.11E-6,-100.9E-6
60.11E-6,-100.5E-6
60.12E-6,-98.60E-6
60.13E-6,-96.32E-6
60.14E-6,-91.68E-6
60.16E-6,-84.33E-6
60.18E-6,-78.41E-6
60.21E-6,-74.14E-6
60.24E-6,-72.07E-6
60.26E-6,-71.53E-6
60.30E-6,-71.40E-6
60.34E-6,-71.62E-6
60.40E-6,-71.61E-6
60.53E-6,-71.67E-6
60.69E-6,-71.59E-6
60.99E-6,-71.68E-6
61.48E-6,-71.59E-6
62.30E-6,-71.68E-6
63.72E-6,-71.58E-6
66.15E-6,-71.68E-6
70.01E-6,-71.58E-6
70.02E-6,-60.83E-6
70.02E-6,-59.90E-6
70.02E-6,-58.63E-6
70.02E-6,-57.30E-6
70.03E-6,-54.99E-6
70.03E-6,-52.13E-6
70.04E-6,-48.30E-6
70.06E-6,-45.11E-6
70.08E-6,-42.43E-6
70.10E-6,-40.65E-6
70.13E-6,-38.97E-6
70.15E-6,-37.38E-6
70.17E-6,-36.20E-6
70.18E-6,-36.71E-6
70.19E-6,-38.70E-6
70.21E-6,-43.55E-6
70.23E-6,-48.88E-6
70.25E-6,-52.76E-6
70.28E-6,-54.37E-6
70.31E-6,-54.82E-6
70.34E-6,-54.93E-6
70.39E-6,-54.99E-6
70.45E-6,-55.00E-6
70.57E-6,-55.04E-6
70.71E-6,-55.03E-6
70.98E-6,-55.06E-6
71.32E-6,-55.04E-6
71.98E-6,-55.06E-6
72.76E-6,-55.04E-6
74.17E-6,-55.06E-6
76.24E-6,-55.04E-6
78.12E-6,-55.06E-6
80.00E-6,-55.04E-6
80.00E-6,-60.11E-6
80.00E-6,-62.19E-6
80.00E-6,-65.84E-6
80.01E-6,-67.86E-6
80.01E-6,-69.85E-6
80.01E-6,-71.74E-6
80.01E-6,-74.96E-6
80.01E-6,-75.34E-6
80.01E-6,-76.09E-6
80.01E-6,-76.91E-6
80.01E-6,-78.14E-6
80.01E-6,-79.66E-6
80.02E-6,-82.20E-6
80.02E-6,-86.20E-6
80.03E-6,-91.48E-6
80.04E-6,-95.23E-6
80.06E-6,-97.65E-6
80.07E-6,-99.32E-6
80.08E-6,-99.71E-6
80.09E-6,-100.5E-6
80.10E-6,-100.9E-6
80.11E-6,-101.0E-6
80.11E-6,-100.9E-6
80.11E-6,-100.5E-6
80.12E-6,-98.60E-6
80.13E-6,-96.32E-6
80.14E-6,-91.68E-6
80.16E-6,-84.33E-6
80.18E-6,-78.41E-6
80.21E-6,-74.14E-6
80.24E-6,-72.07E-6
80.26E-6,-71.53E-6
80.30E-6,-71.40E-6
80.34E-6,-71.62E-6
80.40E-6,-71.61E-6
80.53E-6,-71.67E-6
80.69E-6,-71.59E-6
80.99E-6,-71.68E-6
81.48E-6,-71.59E-6
82.30E-6,-71.68E-6
83.72E-6,-71.58E-6
86.15E-6,-71.68E-6
90.01E-6,-71.58E-6
90.02E-6,-60.83E-6
90.02E-6,-59.90E-6
90.02E-6,-58.63E-6
90.02E-6,-57.30E-6
90.03E-6,-54.99E-6
90.03E-6,-52.13E-6
90.04E-6,-48.30E-6
90.06E-6,-45.11E-6
90.08E-6,-42.43E-6
90.10E-6,-40.65E-6
90.13E-6,-38.97E-6
90.15E-6,-37.38E-6
90.17E-6,-36.20E-6
90.18E-6,-36.71E-6
90.19E-6,-38.70E-6
90.21E-6,-43.55E-6
90.23E-6,-48.88E-6
90.25E-6,-52.76E-6
90.28E-6,-54.37E-6
90.31E-6,-54.82E-6
90.34E-6,-54.93E-6
90.39E-6,-54.99E-6
